dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
hierarchical_sales/W/short,VISIT-2.0,486.6075874,486.6075874,9.234424656,0.733149274,0.546126643,0.471068366,6.833028079,22.05918374,1.012747916,0.423956953,0.354998356,Sales,1
hospital/M/short,VISIT-2.0,3319.908083,3319.908083,19.86221174,0.809792508,0.196542593,0.184842676,5.271630504,57.61864354,0.209169056,0.072104441,0.056161885,Healthcare,1
jena_weather/10T/long,VISIT-2.0,1491.410582,1491.410582,10.14621879,0.716881312,0.857866505,0.674100103,6.864574974,38.61878535,0.23631497,0.062086453,0.050558884,Nature,21
jena_weather/10T/medium,VISIT-2.0,1657.888312,1657.888312,10.32819151,0.677805343,0.870193237,0.671757122,6.09673487,40.71717465,0.249880577,0.063383928,0.051072677,Nature,21
jena_weather/10T/short,VISIT-2.0,991.7269841,991.7269841,6.345827133,0.289624832,0.354273154,0.549468219,2.241837928,31.49169707,0.195602923,0.039415543,0.030491277,Nature,21
jena_weather/D/short,VISIT-2.0,420.3872024,420.3872024,10.20560671,1.050971721,0.610190661,0.443838646,7.593760291,20.50334613,0.123463655,0.061454433,0.048905794,Nature,21
jena_weather/H/long,VISIT-2.0,1189.090741,1189.090741,10.65990307,0.809075502,2.380228583,0.633014788,6.058631902,34.48319505,0.20762706,0.064184433,0.052115068,Nature,21
jena_weather/H/medium,VISIT-2.0,1183.264484,1183.264484,9.755281188,0.737263294,2.5251924,0.659151979,5.918493886,34.39861166,0.210491189,0.059694291,0.04873422,Nature,21
jena_weather/H/short,VISIT-2.0,1090.338972,1090.338972,8.507974037,0.523424274,1.813381564,0.607305363,4.499890832,33.02028123,0.202412214,0.052153337,0.042281715,Nature,21
kdd_cup_2018/D/short,VISIT-2.0,2945.058581,2945.058581,22.30492594,1.292963612,0.616612303,0.500002565,9.707818695,54.26839394,1.215669611,0.49965401,0.397431868,Nature,1
kdd_cup_2018/H/long,VISIT-2.0,3932.69634,3932.69634,23.19247749,0.984605492,0.96928089,0.594954504,7.251158509,62.71121383,1.471458486,0.54418924,0.427211798,Nature,1
kdd_cup_2018/H/medium,VISIT-2.0,5146.650542,5146.650542,24.82211169,1.030117883,0.894029548,0.558946832,8.310623184,71.7401599,1.501651474,0.519571753,0.41439008,Nature,1
kdd_cup_2018/H/short,VISIT-2.0,4582.676649,4582.676649,22.19948863,0.930475595,0.829143412,0.49959618,7.540307929,67.69546993,1.416988792,0.464675504,0.372016718,Nature,1
loop_seattle/5T/long,VISIT-2.0,80.79254443,80.79254443,4.995749556,0.790809917,0.144589939,0.114225534,6.404563215,8.988467302,0.15891794,0.088325874,0.070449442,Transport,1
loop_seattle/5T/medium,VISIT-2.0,66.76649195,66.76649195,4.608493282,0.73390919,0.138593348,0.105886423,5.656886321,8.171076548,0.145380238,0.081994563,0.065199756,Transport,1
loop_seattle/5T/short,VISIT-2.0,42.74672312,42.74672312,3.545443804,0.561035393,0.089226582,0.076511954,4.043141739,6.538097822,0.112113947,0.060796536,0.048061383,Transport,1
loop_seattle/D/short,VISIT-2.0,18.97574174,18.97574174,2.92311722,0.88486902,0.053865264,0.053922715,9.295325256,4.356115442,0.077849609,0.052240014,0.04349331,Transport,1
loop_seattle/H/long,VISIT-2.0,62.44595803,62.44595803,4.246987337,0.889018192,0.124850274,0.098682254,7.670526835,7.902275497,0.141224243,0.07589935,0.061641339,Transport,1
